City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
386,Conceicao Do Araguaia,BR,95.13,-8.2578,-49.2647,clear sky,Tarumã Tropical Hotel
387,Innisfail,AU,66.78,-17.5333,146.0333,broken clouds,Moondarra Motel
389,Carutapera,BR,86.95,-1.195,-46.02,few clouds,Lidera
391,Yueyang,CN,71.91,29.3333,113.0919,light rain,Delong Fortune Hotel
392,Pocone,BR,96.22,-16.2567,-56.6228,overcast clouds,Hotel e Churrascaria Pantaneira
394,San Julian,MX,75.0,21.0167,-102.1667,few clouds,La Nueva España
395,Omura,JP,68.85,32.9214,129.9539,clear sky,Nagasaki International Hotel
396,Cabedelo,BR,83.07,-6.9811,-34.8339,broken clouds,Hotel Pigalle
397,Vila Velha,BR,87.75,-20.3297,-40.2925,moderate rain,Quality Suites Vila Velha
399,Bac Lieu,VN,83.98,9.285,105.7244,broken clouds,Khách sạn Sài Gòn Bạc Liêu
401,Gizo,SB,80.89,-8.103,156.8419,light rain,Imagination Island
404,Kuleshovka,RU,70.93,47.078,39.5579,overcast clouds,Otel' Versal'
406,Blackfoot,US,62.11,43.1905,-112.345,clear sky,Super 8 by Wyndham Blackfoot
407,Tiarei,PF,77.02,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
409,Krasnoarmeysk,RU,65.35,51.0239,45.6969,overcast clouds,"Hotel ""Your home-Balzer"""
410,Taungdwingyi,MM,82.8,20.0167,95.55,overcast clouds,NayNaing MobileService
411,Iquique,CL,66.24,-20.2208,-70.1431,overcast clouds,Backpacker`s Hostel Iquique
413,Mombasa,KE,76.78,-4.0547,39.6636,scattered clouds,New Palm Tree Hotel
414,Dambulla,LK,77.81,7.86,80.6517,broken clouds,Tinaya Treats
416,Levelland,US,70.65,33.5873,-102.378,overcast clouds,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
420,Khani,GE,62.17,41.9563,42.9566,broken clouds,კურორტი ზეკარი/Resort Zekari
421,Semnan,IR,90.54,35.5729,53.3971,clear sky,Semnan Tourist Hotel
422,Pandan,PH,80.58,14.0453,124.1694,overcast clouds,Bonifacio Lodge
423,Chilia Veche,RO,68.52,45.4167,29.2833,overcast clouds,Limanul Resort
425,Qeshm,IR,93.07,26.9581,56.2719,clear sky,Qeshm Kavan Hotel
426,Hami,CN,79.09,42.8,93.45,clear sky,Laoyutang Resort
429,Bhadasar,IN,98.73,28.2833,74.3167,overcast clouds,OMPRAKASH JAKHAR
430,San Buenaventura,MX,81.12,27.0833,-101.5333,broken clouds,Hotel Gran Plaza
